name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	epz
LAT1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LAT2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LAT3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LAT4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LPT1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LPT2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LPT3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LPT4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LTL1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LTL2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LTL3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
RAT1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	yes	n/a
RAT2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	yes	n/a
RAT3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	yes	n/a
RAT4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
RPT1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	yes
RPT2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
RPT3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
RPT4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
RTL1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	yes	n/a
RTL2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	yes	n/a
RTL3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	yes	n/a
LTL4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
RLT4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LTL5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
RTL5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LTL6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
RTL6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
P1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
P2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
P5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
P6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
REF	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a	n/a	n/a
PO4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
PO7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
PO8	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
OZ	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a	n/a	n/a
T10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
EKGL	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a	n/a	n/a
EKGR	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a	n/a	n/a
DC1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a	n/a	n/a
DC2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a	n/a	n/a
DC3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a	n/a	n/a
DC4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	n/a	n/a	n/a
OSAT	SEEG	n/a	0.0	512.0	StereoEEG	1024.0	bad	n/a	n/a	n/a
PR	SEEG	n/a	0.0	512.0	StereoEEG	1024.0	bad	n/a	n/a	n/a
