name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	epz	rz
LAD1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	yes
LAD2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	yes
LAD3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	yes
LAD4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	yes
LAD5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	yes	n/a	yes
LAD6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	yes	n/a	yes
LAD9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	yes
LAD10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	yes
LAD11	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	yes
LAD12	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	yes
LAHD3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAHD4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	n/a
LAHD5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	n/a
LAHD6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAHD11	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
LAHD12	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAHD13	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	n/a
LAHD14	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	n/a
LPHD1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
E	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
LPHD2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPHD3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAHD1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAHD2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPHD4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPHD5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPHD6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPHD9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPHD10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPHD11	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPHD12	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
EKG1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
EKG2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
LAID1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAID2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAID3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAID4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
DC09	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	n/a	n/a	n/a	n/a
DC10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
DC11	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
DC12	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
LAID5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAID6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
$LAHD1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
$LAHD2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
LAID7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAID8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAID15	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
LAID16	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
LPID1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPID2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPID3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPID4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPID5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPID6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
LPID7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
LPID8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
LPID9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
LPID10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
LPID15	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
LPID16	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
LAO1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAO2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAO3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAO4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAO5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAO6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LAO7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Outside Brain	n/a	n/a	n/a
LAO8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Outside Brain	n/a	n/a	n/a
LAO9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Outside Brain	n/a	n/a	n/a
LAO10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Outside Brain	n/a	n/a	n/a
LPO1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPO2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPO3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPO4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPO5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPO6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPO7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPO8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPO9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Outside Brain	n/a	n/a	n/a
LPO10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Outside Brain	n/a	n/a	n/a
LOF1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	yes	n/a
LOF2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	yes	n/a
LOF3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LOF4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
LOF5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LOF6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LOF7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
LOF8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
LOF9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	n/a
LOF10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	n/a
LOF11	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LOF12	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LOF13	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LOF14	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LOF15	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LOF16	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPFC1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	n/a
LPFC2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	n/a
LPFC3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPFC4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPFC5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPFC6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPFC7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPFC8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPFC9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPFC10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPFC11	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPFC12	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPFC13	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPFC14	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPFC15	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
LPFC16	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
RPFC1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
RPFC2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
RPFC3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
RPFC4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
RPFC5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
RPFC6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
RPFC7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
RPFC8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
RPFC9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
RPFC10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
RPFC11	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
RPFC12	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
RPFC13	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
RPFC14	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	White Matter	n/a	n/a	n/a
RPFC15	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
RPFC16	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
AIN1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
AIN2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
AIN3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
AIN4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
DIN1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
