name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz
LOF1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes
LOF2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LOF3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LOF4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
-0	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	n/a	n/a
-1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	n/a	n/a
LOF5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LOF6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LOF7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LOF8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LOF11	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LOF12	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LOF13	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LOF14	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LF1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LF2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LF3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
LF4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LF5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
E	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
LF6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LF7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LOF9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LOF10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LF8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LF9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LF10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
LA1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes
LA2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes
LA3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes
LA4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LA5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LA6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LA7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LA8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LA9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LA10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
DC01	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
DC02	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
DC03	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
DC04	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
LA11	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
LA12	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
$LOF9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
$LOF10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
LH1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes
LH2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes
LH3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes
LH4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LH5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LH6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LH7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LH8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
LH9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
LH10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
EKG1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
EKG2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
ROF1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
ROF2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
ROF3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
ROF4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
ROF5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
ROF6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
ROF7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
ROF8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
ROF9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
ROF10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
ROF11	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
ROF12	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
ROF13	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
ROF14	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
RF1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
RF2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
