name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz
LFC1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LFC2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LFC3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LFC4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LFC5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LFC6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LFC7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LFC8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LFC9	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LFC10	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LFC11	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LFC12	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LFC13	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LFC14	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAC1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAC2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAC3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAC4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAC5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAC6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAC7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAC8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAC9	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAC10	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAC11	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAC12	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LMC1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LMC2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LMC3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LMC4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LMC5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LMC6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LMC7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LMC8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LMC9	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LMC10	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LMC11	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LMC12	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LTP1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LTP2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LTP3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LTP4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LTP5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LTP6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM9	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM10	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM11	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM12	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH9	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH10	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH11	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH12	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHB1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHB2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHB3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHB4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHB5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHB6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHB7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
