name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	epz
LFP1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	yes	n/a
LFP2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	yes	n/a
LFP3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	yes	n/a
LFP4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	yes	n/a
LFP5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	yes	n/a
LFP6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	yes	n/a
LAC1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
LAC2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
LAC3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
LAC4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
LAC5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
LAC6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LAC7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LAC8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LMC1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LMC2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LMC3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LMC4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
LMC5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
LMC6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
LMC7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LMC8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LMC9	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LMC10	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LAI1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LAI2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LAI3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LAI4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LAI5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LAI6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LAI7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
