name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	epz	rz
G1	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a	yes
G2	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a	yes
G3	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a	yes
G4	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a	yes
G5	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	bad	Excel-labeled	n/a	n/a	n/a
G6	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	bad	Excel-labeled	n/a	n/a	n/a
G7	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a	n/a
G8	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a	n/a
G9	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a	yes
G10	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a	yes
G13	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a	n/a
G14	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a	n/a
G15	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a	n/a
G16	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a	n/a
G17	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	bad	Excel-labeled	n/a	n/a	n/a
G18	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a	yes
G19	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a	yes
G20	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a	yes
G21	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a	n/a
E	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	bad	n/a	n/a	n/a	n/a
G22	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a	n/a
G23	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a	n/a
G11	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a	yes
G12	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a	yes
G24	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a	n/a
G25	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	bad	Excel-labeled	n/a	n/a	n/a
G26	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a	yes
G27	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a	yes
G28	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a	n/a
G29	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a	n/a
G30	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a	n/a
G31	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a	n/a
G32	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a	n/a
TT1	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a	yes
TT2	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a	yes
TT3	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a	yes
