name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	rz
RLFD1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RLFD2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RLFD3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RLFD4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
LMFD7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a
LMFD8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a
RLFD5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RLFD6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RLFD7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RLFD8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RMFD1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RMFD2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RMFD3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RMFD4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RMFD5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RMFD6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RMFD7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RMFD8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RMFD9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RMFD10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
ROFD1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RLFD9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
RLFD10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
ROFD2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
ROFD3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
ROFD4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
ROFD5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
ROFD6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
ROFD7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
ROFD8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
ROFD9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
ROFD10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a
