name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	epz
LIN1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
LIN2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
LIN3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
LIN4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LIN5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LIN6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LIN7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	yes	n/a
LIN8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	yes	n/a
LIN9	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LIN10	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LHT1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LHT2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LHT3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LHT4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LHT5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LHT6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
LHT7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
LHT8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
LHT9	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
LHT10	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
LHT11	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LHT12	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LHT13	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
LHT14	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
C25	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
C26	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
C27	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
C28	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
