name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	epz
RFP1	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
RFP2	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
RFP3	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
RFP4	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
RFP5	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
RFP6	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
RFP7	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
RFP8	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
LMF1	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
LMF2	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
LMF3	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
LMF4	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
LMF5	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	yes	yes
LMF6	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	yes	yes
LMF7	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	yes	yes
LMF8	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	yes
LMF9	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	yes
LMF10	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	yes
RAC1	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
RAC2	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
RAC3	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
