name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz
LTP1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LTP2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LTP3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM9	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM10	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM11	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LAM12	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH9	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHH10	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHB1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
LHB2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a
