name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	rz
RFS1	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RFS2	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RFS3	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RFS4	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
-0	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	bad	n/a	n/a	n/a
-1	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	bad	n/a	n/a	n/a
RFS5	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RFS6	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RPG1	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RPG2	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RPG5	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	yes
RPG6	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	yes
RPG7	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	bad	Excel-labeled	n/a	n/a
RPG8	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RPG9	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RPG10	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RPG11	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	yes
RPG12	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	yes
RPG13	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	yes
E	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	bad	n/a	n/a	n/a
RPG14	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a
RPG15	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RPG3	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	yes
RPG4	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	yes
RPG16	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RPG17	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RPG18	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RPG19	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	yes
RPG20	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	yes
RPG21	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	yes	n/a
RPG22	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RPG23	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RPG24	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RPG25	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RPG26	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RPG27	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
RPG28	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	good	n/a	n/a	n/a
DC01	ECOG	µV	0.0	500.0	Electrocorticography	1000.0	bad	n/a	n/a	n/a
