name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz
MOTM1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
MOTM2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
MOTM3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
MOTM4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
A5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
A6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
MOTM5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a
MOTM6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
MOTM7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
MOTM8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
MOTL3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
MOTL4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
MOTL5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
MOTL6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
MOTL7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
MOTL8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
SENM1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes
SENM2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes
SENM3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes
SENM4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes
SENM5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
MOTL1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
MOTL2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
SENM6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
SENM7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
SENM8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
SENM9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
SENM10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
SENI1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
SENI2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
SENI3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
SENI4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
SENI5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
SENI6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
SENI7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
SENI8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a
