name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	epz
RFP1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RFP2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RFP3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RFP4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RFP5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RFP6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
ROF1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
ROF2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
ROF3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
ROF4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
ROF5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
ROF6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	yes	n/a
ROF7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	yes	n/a
ROF8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	yes	n/a
ROF9	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	yes	n/a
ROF10	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	yes	n/a
ROF11	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	yes	n/a
ROF12	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	yes	n/a
RAC1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RAC2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RAC3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RAC4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RAC5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RAC6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RAC7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RAC8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RAC9	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RAC10	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RAC11	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RAC12	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RMC1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RMC2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RMC3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RMC4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RMC5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RMC6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RMC7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RMC8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RMC9	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RMC10	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RMC11	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RMC12	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RMC13	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RMC14	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RPC1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RPC2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RPC3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RPC4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RPC5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RPC6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RPC7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RPC8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RPC9	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RPC10	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RPC11	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RPC12	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RPC13	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	yes
RPC14	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RTP1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RTP2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RTP3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RTP4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RTP5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
C64	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RTP6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RAM1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RAM2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RAM3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RAM4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RAM5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RAM6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
RAM7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a	n/a	n/a
