name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	rz
ABT1	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	good	n/a	n/a	n/a
ABT2	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	good	n/a	n/a	n/a
ABT3	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	good	n/a	n/a	n/a
ABT4	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	good	n/a	n/a	n/a
REF2	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	bad	n/a	n/a	n/a
REF3	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	bad	n/a	n/a	n/a
MBT1	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	good	n/a	n/a	n/a
MBT2	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	good	n/a	n/a	n/a
MBT3	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	good	n/a	n/a	n/a
MBT4	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	good	n/a	n/a	n/a
PBT3	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	good	n/a	n/a	n/a
PBT4	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	good	n/a	n/a	n/a
PBT5	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	bad	Excel-labeled	n/a	n/a
PBT6	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	bad	Excel-labeled	n/a	n/a
RAD1	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	good	n/a	yes	yes
RAD2	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	good	n/a	yes	yes
RAD3	ECOG	µV	0.0	499.99999999999994	Electrocorticography	999.9999999999999	good	n/a	yes	yes
