name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	rz
LFL1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFA8	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFL3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFL4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFL5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFL6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFL7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFL8	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	White Matter	n/a	n/a
LFL9	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFL10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFL11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFL12	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFA1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFA2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFA3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFA4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFA5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFA6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFA7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFL2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFA9	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFA10	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFA11	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	Outside Brain	n/a	n/a
LFA12	SEEG	µV	0.0	512.0	StereoEEG	1024.0	bad	Outside Brain	n/a	n/a
LFP1	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFP2	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFP3	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFP4	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFP5	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFP6	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFP7	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
LFP8	SEEG	µV	0.0	512.0	StereoEEG	1024.0	good	n/a	n/a	n/a
