name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	epz
LT1	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
LT2	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
LT3	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
LT4	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
LT5	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
LT6	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
LT7	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
LT8	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
H1	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	yes	n/a
H2	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	yes	n/a
H3	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
H4	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
H5	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
H6	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
H7	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
H8	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AC1	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AC2	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AC3	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AC4	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AC5	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AC6	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AC7	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AC8	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AI1	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AI2	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AI3	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AI4	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AI5	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AI6	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AI7	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AI8	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AI9	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AI10	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AI11	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AI12	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AI13	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AI14	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
PI1	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
PI2	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
PI3	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
PI4	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
PI5	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
PI6	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
PI7	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
PI8	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
PI9	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
PI10	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
PI11	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
PI12	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
AZ1	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	yes
AZ2	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	yes
AZ3	SEEG	µV	0.0	250.0	StereoEEG	500.0	good	n/a	n/a	n/a
