name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	epz	rz
ALF1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
ALF2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	yes	n/a
ALF3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	yes	n/a
ALF4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
ALF5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
ALF6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
ALF7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
ALF8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
ALF9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
ALF10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
PLF11	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
PLF12	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
PLF13	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
PLF14	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
PLF15	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	yes	n/a
PLF16	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	yes	n/a
PLF17	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	yes	n/a
PLF18	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
PLF19	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
E	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
PLF110	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
PLF111	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
ALF11	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
ALF12	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
PLF112	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
ALP1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	yes
ALP2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	yes
ALP3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	yes
ALP4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	yes
ALP5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
ALP6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
ALP7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	yes	n/a
ALP8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	yes	n/a
ALP9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	yes	n/a
ALP10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	yes	n/a
ALP11	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
ALP12	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
DC09	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	n/a	n/a	n/a	n/a
DC10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
DC11	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
DC12	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
PLP1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	yes
PLP2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	yes
$ALF11	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
$ALF12	SEEG	µV	0.0	500.0	StereoEEG	1000.0	bad	Excel-labeled	n/a	n/a	n/a
PLP3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	yes	yes
PLP4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	yes	yes
PLP5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	yes	yes
PLP6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	yes	yes
PLP7	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
PLP8	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
PLP9	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
PLP10	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
AID1	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
AID2	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
AID3	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	n/a	n/a	n/a
AID4	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	n/a
AID5	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	n/a
AID6	SEEG	µV	0.0	500.0	StereoEEG	1000.0	good	n/a	yes	n/a	n/a
