name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	rz
EVENT	SEEG	n/a	0.0	499.70605526161086	StereoEEG	999.4121105232217	bad	n/a	n/a	n/a
LTP1	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LTP2	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LTP3	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LTP4	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LTP5	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LTP6	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	bad	Excel-labeled	yes	yes
LA1	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LA2	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LA3	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	bad	Excel-labeled	yes	yes
LA4	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LA5	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LA6	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LA7	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LA8	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LA9	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	bad	Excel-labeled	yes	yes
LA10	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	bad	Excel-labeled	n/a	n/a
LA11	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	bad	Excel-labeled	n/a	n/a
LA12	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	bad	Excel-labeled	n/a	n/a
LH1	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LH2	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LH3	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LH4	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LH5	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LH6	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LH7	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LH8	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	good	n/a	yes	yes
LH9	SEEG	µV	0.0	499.70605526161086	StereoEEG	999.4121105232217	bad	Excel-labeled	yes	yes
