name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	rz
EVENT	ECOG	n/a	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	n/a	n/a	n/a
LLAT1	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	n/a	n/a
LLAT3	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	n/a	n/a
LABT3	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	n/a	n/a
RLAT1	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	yes	yes
RLAT6	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	yes	yes
LLAT4	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	n/a	n/a
LABT4	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	n/a	n/a
RLAT2	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	yes	yes
LABT2	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	n/a	n/a
LLAT5	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	n/a	n/a
LPBT1	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	n/a	n/a
LLAT2	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	n/a	n/a
LABT1	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	n/a	n/a
LPBT3	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	n/a	n/a
RLAT5	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	yes	yes
RABT1	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	yes	yes
LLAT6	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	n/a	n/a
LPBT2	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	n/a	n/a
RLAT4	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	yes	yes
LPBT4	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	n/a	n/a
FPZ	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	n/a	n/a	n/a
RLAT3	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	yes	yes
X1	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	Excel-labeled	n/a	n/a
X2	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	Excel-labeled	n/a	n/a
RABT2	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	yes	yes
RABT3	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	yes	yes
RABT4	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	yes	yes
RPBT1	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	yes	yes
RPBT2	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	yes	yes
RPBT3	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	yes	yes
RPBT4	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	good	n/a	yes	yes
X10	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	Excel-labeled	n/a	n/a
X11	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	Excel-labeled	n/a	n/a
X12	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	Excel-labeled	n/a	n/a
X13	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	Excel-labeled	n/a	n/a
X14	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	Excel-labeled	n/a	n/a
X15	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	Excel-labeled	n/a	n/a
X16	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	Excel-labeled	n/a	n/a
X17	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	Excel-labeled	n/a	n/a
X18	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	Excel-labeled	n/a	n/a
DC1	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	n/a	n/a	n/a
DC2	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	n/a	n/a	n/a
DC3	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	n/a	n/a	n/a
DC4	ECOG	µV	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	n/a	n/a	n/a
OSAT	ECOG	n/a	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	n/a	n/a	n/a
PR	ECOG	n/a	0.0	512.2998975400204	Electrocorticography	1024.5997950800408	bad	n/a	n/a	n/a
